Index,Depth,Magnitude,MaxIntensity
0,86,3.5,1
2,11,2.6,1
4,55,3.5,1
5,44,4.0,1
6,12,2.4,1
7,52,3.6,1
9,31,3.9,1
10,39,4.7,1
11,11,2.6,1
12,3,2.2,1
13,8,2.4,1
14,7,2.9,1
15,13,2.6,1
17,13,2.9,1
18,50,3.0,1
19,73,4.8,1
23,9,2.8,1
25,59,3.4,1
26,49,3.7,1
27,11,2.3,1
28,52,3.8,1
30,9,3.0,1
31,13,3.3,1
33,10,2.5,1
34,10,3.0,1
36,10,2.5,1
38,11,2.2,1
39,46,3.4,1
42,61,2.7,1
43,58,3.1,1
46,1,1.6,1
47,4,2.9,1
49,6,2.6,1
50,7,2.5,1
51,7,2.2,1
53,12,2.9,1
54,8,2.3,1
55,66,3.6,1
56,33,4.5,1
59,9,2.9,1
60,11,2.3,1
61,13,2.9,1
63,14,4.8,1
64,4,1.4,1
67,12,3.1,1
70,48,3.6,1
73,49,3.9,1
75,11,2.6,1
77,55,3.7,1
78,29,3.6,1
79,30,4.9,1
80,10,2.6,1
81,8,2.4,1
82,12,2.3,1
83,5,2.5,1
85,5,2.1,1
86,7,2.3,1
89,12,2.8,1
90,45,3.6,1
91,39,3.5,1
92,6,1.2,1
95,4,2.5,1
96,12,2.8,1
97,11,3.4,1
98,12,3.3,1
99,9,2.0,1
100,12,3.0,1
101,11,3.3,1
102,48,3.8,1
104,9,2.9,1
105,21,3.9,1
107,20,2.3,1
108,39,2.9,1
109,6,2.0,1
110,10,2.7,1
111,10,2.4,1
112,68,3.3,1
113,55,3.6,1
114,12,3.1,1
116,13,3.0,1
119,58,3.2,1
120,31,3.3,1
121,6,2.6,1
123,83,3.7,1
124,12,2.5,1
128,12,2.9,1
129,7,1.9,1
130,5,2.5,1
131,45,3.3,1
133,10,2.7,1
134,14,3.1,1
135,5,1.9,1
136,53,3.7,1
137,14,3.5,1
138,10,2.6,1
139,49,3.7,1
140,13,3.6,1
141,59,3.2,1
142,18,3.6,1
143,7,3.7,1
145,13,2.9,1
146,32,4.9,1
148,26,2.9,1
149,94,3.7,1
151,9,2.6,1
153,126,3.9,1
155,50,3.3,1
159,51,3.0,1
160,73,3.4,1
161,14,2.4,1
162,58,3.9,1
163,61,3.1,1
165,16,3.1,1
166,18,2.7,1
167,7,2.7,1
168,7,3.2,1
170,56,2.5,1
171,56,3.6,1
172,41,5.0,1
173,50,3.3,1
175,61,3.8,1
176,41,3.0,1
177,21,2.7,1
178,46,3.6,1
181,161,5.1,1
182,29,4.2,1
184,30,4.1,1
185,24,3.9,1
188,4,3.2,1
189,38,3.1,1
190,5,1.9,1
191,5,1.9,1
192,97,3.7,1
193,17,2.9,1
194,21,5.2,1
199,13,2.6,1
200,30,5.2,1
202,55,4.1,1
203,27,3.4,1
204,11,3.0,1
206,52,4.0,1
207,8,2.8,1
208,11,2.3,1
209,5,2.5,1
211,13,2.6,1
213,84,3.4,1
215,14,2.6,1
216,8,2.1,1
219,23,3.1,1
221,58,3.5,1
223,69,3.5,1
224,15,2.3,1
226,47,3.4,1
228,16,3.5,1
229,9,2.9,1
231,15,3.4,1
233,23,4.1,1
234,46,3.6,1
235,36,3.1,1
236,9,2.6,1
237,75,3.4,1
239,14,2.8,1
240,22,6.4,1
243,11,2.8,1
247,3,2.8,1
248,5,2.5,1
249,41,3.2,1
250,48,3.3,1
251,30,3.9,1
252,73,3.2,1
254,46,3.4,1
255,7,2.0,1
256,51,3.4,1
258,23,3.3,1
260,18,2.5,1
264,12,2.4,1
265,12,2.7,1
266,12,2.6,1
268,11,3.2,1
269,12,2.8,1
270,60,3.7,1
272,35,2.9,1
273,10,2.7,1
277,13,2.4,1
278,11,2.8,1
280,49,3.4,1
283,33,3.6,1
284,47,3.4,1
288,87,3.1,1
289,12,3.9,1
290,73,3.1,1
291,23,2.6,1
293,71,3.3,1
294,11,2.2,1
295,11,2.5,1
296,13,2.8,1
297,2,2.3,1
298,12,2.7,1
300,12,2.4,1
301,13,2.8,1
303,8,2.8,1
305,462,5.2,1
306,49,3.1,1
307,34,4.1,1
308,40,3.4,1
309,57,3.5,1
311,29,2.7,1
312,62,3.8,1
313,50,3.2,1
314,5,2.0,1
316,36,3.4,1
317,4,2.1,1
318,15,2.4,1
319,20,2.6,1
320,24,2.5,1
321,15,3.7,1
323,67,3.9,1
324,12,2.9,1
326,27,2.4,1
327,28,2.8,1
328,27,2.7,1
329,27,2.9,1
330,4,1.4,1
333,18,3.2,1
334,12,2.8,1
335,39,4.1,1
336,46,3.7,1
337,9,2.4,1
338,8,2.5,1
339,14,2.9,1
340,34,3.6,1
344,63,4.0,1
345,20,2.1,1
347,16,2.5,1
350,46,3.6,1
351,153,3.8,1
352,27,2.3,1
353,87,3.1,1
355,20,2.4,1
356,20,2.7,1
357,17,2.9,1
358,25,2.7,1
360,22,3.2,1
361,19,2.7,1
362,18,3.1,1
363,25,2.6,1
365,18,2.5,1
366,18,2.2,1
367,19,2.4,1
368,22,2.5,1
372,18,2.6,1
374,20,2.4,1
375,16,2.8,1
376,19,2.7,1
377,15,2.6,1
378,18,2.3,1
379,22,2.8,1
380,24,2.8,1
381,24,2.2,1
383,20,2.4,1
384,19,2.5,1
385,10,2.4,1
388,24,2.5,1
389,26,2.6,1
390,8,2.7,1
391,30,2.5,1
392,21,3.9,1
393,19,2.7,1
395,14,3.1,1
396,21,2.5,1
397,9,2.6,1
398,23,2.8,1
399,14,2.3,1
400,20,2.9,1
401,17,2.8,1
403,29,2.8,1
405,25,2.9,1
406,27,2.6,1
409,20,2.9,1
410,20,2.4,1
411,25,2.9,1
413,23,2.6,1
414,16,2.2,1
415,20,2.9,1
417,5,1.9,1
418,23,2.6,1
419,22,2.9,1
420,6,2.5,1
422,16,2.6,1
423,27,2.6,1
426,17,2.7,1
427,25,2.8,1
428,16,2.7,1
429,27,2.9,1
430,16,2.9,1
431,23,2.4,1
434,24,2.6,1
435,21,2.9,1
436,12,2.6,1
437,16,2.6,1
438,24,2.9,1
439,20,2.5,1
440,9,2.5,1
441,20,2.6,1
443,16,2.5,1
444,18,2.8,1
448,18,2.5,1
449,47,3.1,1
451,20,2.9,1
452,15,2.6,1
453,11,2.8,1
455,19,2.9,1
458,9,2.6,1
459,15,2.6,1
462,20,3.1,1
464,22,3.0,1
467,18,2.4,1
468,12,2.8,1
470,26,2.8,1
474,13,2.4,1
475,19,2.8,1
476,17,2.5,1
477,16,3.0,1
478,23,2.6,1
480,25,2.8,1
482,20,2.5,1
483,15,2.7,1
484,20,2.7,1
486,19,2.9,1
487,15,2.6,1
488,79,4.3,1
489,24,2.7,1
492,18,2.8,1
493,23,2.6,1
494,20,2.6,1
495,43,3.2,1
497,21,2.7,1
498,23,2.5,1
499,10,2.4,1
500,21,2.6,1
505,21,2.8,1
506,24,2.7,1
508,10,1.9,1
510,16,3.0,1
511,9,2.8,1
513,14,3.0,1
515,18,2.8,1
519,19,2.5,1
522,22,2.5,1
523,14,2.8,1
525,28,2.5,1
526,20,2.8,1
527,18,2.5,1
528,19,2.7,1
529,26,2.8,1
531,12,3.0,1
532,26,2.7,1
533,25,2.7,1
535,25,2.6,1
537,26,2.5,1
538,26,3.0,1
540,30,2.7,1
541,21,3.0,1
542,12,2.6,1
543,27,3.0,1
544,28,3.0,1
547,23,2.7,1
549,17,2.4,1
550,16,2.5,1
551,14,2.6,1
552,19,2.4,1
555,15,2.6,1
558,16,2.5,1
559,17,2.9,1
564,25,2.9,1
566,26,2.9,1
570,16,3.5,1
571,17,2.7,1
572,24,2.5,1
576,21,2.9,1
577,16,2.7,1
578,19,2.4,1
579,16,2.8,1
580,11,2.4,1
581,20,3.0,1
582,23,2.9,1
583,17,3.0,1
584,28,2.7,1
586,18,3.1,1
587,24,2.6,1
588,19,2.8,1
590,18,3.1,1
591,18,2.8,1
592,19,2.9,1
594,18,2.7,1
595,13,2.6,1
596,18,2.5,1
599,24,2.3,1
600,18,2.7,1
602,15,2.5,1
603,22,2.5,1
604,24,2.7,1
605,26,2.4,1
606,20,2.6,1
608,21,2.7,1
609,19,3.1,1
610,16,2.9,1
611,22,2.8,1
612,25,2.8,1
613,25,2.7,1
614,21,2.9,1
615,18,2.9,1
616,18,2.8,1
617,14,2.7,1
618,20,2.8,1
619,16,2.7,1
620,15,3.0,1
621,15,2.9,1
623,19,2.7,1
625,22,2.7,1
626,19,3.1,1
628,19,2.6,1
629,18,3.0,1
630,12,3.0,1
631,19,2.7,1
632,22,3.2,1
634,13,2.5,1
635,22,2.7,1
637,18,2.5,1
638,19,3.0,1
639,15,2.8,1
640,20,2.4,1
641,23,2.8,1
643,18,3.0,1
644,15,3.0,1
646,20,2.5,1
648,22,2.3,1
650,21,2.8,1
651,25,2.7,1
652,26,2.7,1
653,22,2.6,1
655,19,2.8,1
657,20,2.6,1
658,24,2.4,1
659,19,2.8,1
660,24,2.3,1
662,24,2.5,1
663,26,2.3,1
665,25,2.8,1
668,26,2.4,1
670,24,2.8,1
671,25,2.8,1
673,21,2.8,1
674,13,2.9,1
675,23,2.9,1
676,25,2.8,1
677,20,2.9,1
678,12,3.0,1
680,20,2.4,1
682,18,2.6,1
683,23,2.4,1
684,18,2.6,1
685,19,2.7,1
686,17,2.8,1
690,19,2.8,1
693,19,2.7,1
695,19,2.4,1
696,27,2.7,1
697,54,3.8,1
698,54,3.5,1
700,4,3.0,1
701,7,2.8,1
702,31,3.3,1
703,5,2.8,1
704,7,1.8,1
710,26,2.8,1
711,54,3.3,1
712,29,3.6,1
713,30,3.5,1
715,40,4.2,1
716,7,2.7,1
717,14,2.9,1
719,7,2.1,1
720,2,2.9,1
721,9,2.5,1
722,7,3.0,1
723,26,4.1,1
724,54,3.5,1
727,38,3.3,1
728,37,3.4,1
731,173,4.1,1
732,22,3.1,1
733,11,2.8,1
734,66,3.4,1
735,88,3.5,1
736,9,2.1,1
737,50,3.3,1
738,10,2.3,1
739,1,2.2,1
740,9,3.1,1
743,56,3.5,1
746,10,2.4,1
747,16,3.0,1
749,19,2.5,1
752,4,2.7,1
753,15,4.4,1
755,10,2.4,1
756,11,2.5,1
757,11,2.1,1
758,69,3.7,1
759,14,2.0,1
760,8,2.2,1
762,10,2.5,1
763,84,3.0,1
764,16,3.7,1
766,6,2.7,1
768,21,2.8,1
769,56,3.9,1
770,63,3.3,1
773,8,2.1,1
776,4,2.9,1
777,16,2.8,1
778,100,3.5,1
779,11,2.9,1
780,11,2.0,1
782,11,2.5,1
783,12,2.7,1
787,9,3.0,1
789,34,3.5,1
793,54,3.8,1
794,59,3.0,1
796,11,2.1,1
798,9,2.2,1
801,27,3.3,1
802,22,4.3,1
803,39,3.1,1
805,7,1.9,1
807,11,2.4,1
808,27,4.2,1
810,38,3.1,1
811,15,3.2,1
812,44,3.7,1
813,5,2.7,1
816,12,3.2,1
819,8,2.2,1
820,22,4.7,1
821,35,3.2,1
824,14,2.6,1
827,10,3.6,1
828,6,2.2,1
829,10,2.3,1
830,8,1.9,1
832,43,3.4,1
833,4,1.8,1
834,11,2.2,1
835,9,2.5,1
836,10,3.4,1
837,5,2.4,1
838,11,2.6,1
839,9,3.4,1
840,9,3.2,1
841,8,3.1,1
842,14,2.7,1
843,70,3.7,1
844,121,4.5,1
845,22,3.9,1
847,8,1.9,1
848,12,4.8,1
849,52,3.3,1
851,17,2.4,1
852,17,2.3,1
853,7,1.9,1
854,54,4.0,1
858,64,3.4,1
859,31,3.1,1
861,70,3.2,1
862,30,4.6,1
864,2,1.9,1
865,10,3.5,1
866,37,3.2,1
868,45,3.1,1
870,41,2.9,1
871,38,3.2,1
873,22,3.3,1
876,11,3.2,1
877,68,3.8,1
878,45,3.0,1
879,33,2.8,1
882,56,4.3,1
884,6,2.7,1
885,26,3.5,1
886,37,3.0,1
887,39,3.2,1
889,6,2.9,1
892,7,2.6,1
893,1,1.7,1
894,52,3.9,1
895,30,2.4,1
896,14,2.5,1
897,31,4.3,1
899,9,2.8,1
900,11,2.6,1
901,5,2.0,1
903,5,1.9,1
905,12,2.7,1
906,2,2.3,1
908,12,3.2,1
909,9,2.6,1
910,57,3.7,1
914,5,2.6,1
915,74,4.0,1
918,6,2.0,1
919,7,2.4,1
920,5,2.0,1
922,7,2.5,1
923,5,2.2,1
925,7,2.6,1
926,12,2.2,1
927,4,3.1,1
928,55,3.2,1
929,13,2.5,1
931,52,3.7,1
933,35,2.9,1
934,86,3.0,1
935,2,2.5,1
936,6,2.2,1
937,18,2.9,1
938,50,3.1,1
940,112,3.3,1
942,28,3.3,1
943,6,3.1,1
945,44,3.5,1
946,73,3.8,1
947,12,3.0,1
948,4,1.7,1
950,36,2.9,1
952,6,2.4,1
953,12,2.9,1
954,21,3.5,1
955,8,3.0,1
956,35,3.9,1
957,38,2.8,1
959,7,1.3,1
960,16,2.4,1
961,48,3.4,1
963,6,2.3,1
964,454,5.5,1
966,10,2.5,1
968,5,2.0,1
969,9,3.1,1
970,10,3.0,1
972,38,3.4,1
973,9,2.0,1
974,7,2.4,1
978,13,2.5,1
979,16,2.9,1
980,50,3.1,1
981,1,2.0,1
983,40,3.3,1
984,77,3.5,1
985,7,2.6,1
987,79,3.7,1
989,8,1.9,1
991,54,2.8,1
993,8,4.2,1
997,6,2.0,1
998,8,2.4,1
999,45,3.3,1
1001,52,3.7,1
1002,61,3.7,1
1004,1,2.6,1
1005,98,3.4,1
1006,57,3.8,1
1008,11,2.8,1
1010,124,4.9,1
1011,8,2.1,1
1012,5,2.3,1
1013,4,2.3,1
1019,11,3.1,1
1020,69,3.4,1
1021,9,2.7,1
1023,42,3.7,1
1024,41,3.1,1
1025,8,3.3,1
1026,7,2.2,1
1028,53,3.7,1
1030,27,3.9,1
1040,8,2.5,1
1045,2,3.2,1
1050,10,2.3,1
1055,10,3.6,1
1056,11,2.5,1
1057,7,2.9,1
1058,2,2.6,1
1061,61,4.3,1
1066,10,2.3,1
1069,57,3.7,1
1070,12,2.1,1
1071,12,2.7,1
1072,13,2.4,1
1073,47,4.8,1
1075,11,2.7,1
1076,83,2.8,1
1078,12,3.1,1
1079,11,2.5,1
1082,9,2.3,1
1083,8,2.4,1
1087,70,3.7,1
1088,181,4.7,1
1089,9,2.5,1
1090,49,2.9,1
1091,10,3.1,1
1092,45,2.9,1
1094,8,2.3,1
1096,12,2.5,1
1097,11,2.4,1
1098,7,2.3,1
1100,11,3.0,1
1102,11,2.6,1
1104,51,4.0,1
1106,8,2.8,1
1107,46,3.5,1
1108,9,3.4,1
1110,9,2.8,1
1111,24,4.4,1
1112,10,2.1,1
1113,10,2.5,1
1115,51,3.6,1
1116,5,2.8,1
1119,12,2.2,1
1120,40,3.6,1
1121,11,2.4,1
1122,10,2.9,1
1124,17,2.8,1
1125,8,2.4,1
1126,6,2.1,1
1127,4,2.3,1
1128,3,2.6,1
1129,13,3.3,1
1130,48,3.2,1
1131,10,2.3,1
1132,4,2.3,1
1133,3,2.8,1
1134,10,2.4,1
1135,11,2.4,1
1138,4,2.3,1
1139,11,2.3,1
1140,31,3.3,1
1141,11,2.4,1
1142,34,3.5,1
1143,10,2.5,1
1144,12,2.1,1
1145,9,2.4,1
1147,9,2.6,1
1150,49,3.3,1
1151,8,2.6,1
1152,21,3.2,1
1153,11,3.1,1
1154,49,3.7,1
1155,23,4.3,1
1156,3,2.8,1
1157,7,2.3,1
1161,3,2.2,1
1163,7,1.8,1
1164,4,2.8,1
1165,1,1.9,1
1166,10,2.3,1
1167,10,2.0,1
1170,69,3.3,1
1172,49,3.3,1
1173,12,2.1,1
1174,31,3.1,1
1177,11,2.3,1
1179,10,2.1,1
1181,4,2.9,1
1186,4,2.6,1
1188,8,2.5,1
1189,7,2.6,1
1190,13,2.5,1
1191,12,2.7,1
1193,8,2.3,1
1194,13,3.2,1
1197,7,2.5,1
1198,7,2.8,1
1201,46,3.9,1
1204,48,4.0,1
1206,7,2.3,1
1207,13,2.0,1
1208,10,2.6,1
1210,9,2.7,1
1214,10,2.3,1
1215,11,3.8,1
1216,10,2.5,1
1217,13,2.3,1
1218,11,2.9,1
1221,9,2.2,1
1222,9,2.6,1
1224,50,3.3,1
1225,10,2.9,1
1226,44,3.1,1
1227,9,2.9,1
1229,10,2.2,1
1230,9,2.3,1
1232,7,3.3,1
1233,9,2.5,1
1236,11,2.5,1
1237,10,2.0,1
1238,12,2.3,1
1239,9,2.3,1
1240,10,2.2,1
1241,11,2.4,1
1243,10,2.5,1
1244,13,2.7,1
1245,11,2.3,1
1247,9,2.1,1
1248,11,2.2,1
1249,10,2.6,1
1251,11,2.1,1
1252,10,2.6,1
1253,10,2.4,1
1257,10,2.4,1
1258,10,2.0,1
1259,11,2.2,1
1260,12,2.7,1
1261,10,2.6,1
1262,12,2.3,1
1264,6,2.4,1
1265,10,2.6,1
1266,10,2.4,1
1267,7,2.3,1
1269,14,2.4,1
1271,12,2.7,1
1272,18,3.4,1
1275,11,2.5,1
1276,13,2.6,1
1278,12,2.8,1
1279,11,2.9,1
1281,10,2.2,1
1283,9,2.7,1
1285,5,1.6,1
1288,11,2.3,1
1289,11,2.5,1
1290,8,2.8,1
1292,13,2.9,1
1293,25,3.8,1
1294,6,2.6,1
1298,9,2.0,1
1299,7,2.5,1
1301,11,2.3,1
1302,9,2.2,1
1303,54,4.7,1
1304,48,3.2,1
1305,10,2.1,1
1306,6,1.7,1
1308,9,2.4,1
1309,25,3.1,1
