観測点名,都道府県,震度,Latitude,Longitude
珠洲市正院町,石川県,D,37.45,137.28333333333333
珠洲市三崎町,石川県,B,37.45,137.36666666666667
珠洲市大谷町,石川県,B,37.5,137.18333333333334
能登町松波,石川県,B,37.35,137.25
輪島市鳳至町,石川県,A,37.38333333333333,136.9
輪島市門前町走出,石川県,A,37.28333333333333,136.76666666666668
能登町宇出津,石川県,A,37.31666666666667,137.15
七尾市本府中町,石川県,4,37.03333333333333,136.96666666666667
七尾市袖ヶ江町,石川県,4,37.05,136.96666666666667
七尾市垣吉町,石川県,4,37.06666666666667,136.9
七尾市能登島向田町,石川県,4,37.13333333333333,137.0
輪島市舳倉島,石川県,4,37.85,136.91666666666666
輪島市河井町,石川県,4,37.4,136.9
羽咋市旭町,石川県,4,36.9,136.78333333333333
志賀町富来領家町,石川県,4,37.15,136.73333333333332
志賀町末吉千古,石川県,4,37.0,136.78333333333333
穴水町大町,石川県,4,37.233333333333334,136.91666666666666
中能登町末坂,石川県,4,36.983333333333334,136.9
中能登町能登部下,石川県,4,36.96666666666667,136.86666666666667
能登町柳田,石川県,4,37.36666666666667,137.1
金沢市西念,石川県,4,36.583333333333336,136.63333333333333
小松市小馬出町,石川県,4,36.416666666666664,136.45
かほく市浜北,石川県,4,36.733333333333334,136.7
能美市来丸町,石川県,4,36.45,136.55
七尾市中島町中島,石川県,3,37.11666666666667,136.85
羽咋市柳田町,石川県,3,36.93333333333333,136.78333333333333
志賀町香能,石川県,3,37.166666666666664,136.68333333333334
宝達志水町子浦,石川県,3,36.86666666666667,136.8
宝達志水町今浜,石川県,3,36.833333333333336,136.75
中能登町井田,石川県,3,36.96666666666667,136.91666666666666
金沢市弥生,石川県,3,36.55,136.65
小松市向本折町,石川県,3,36.4,136.43333333333334
加賀市直下町,石川県,3,36.28333333333333,136.33333333333334
加賀市大聖寺南町,石川県,3,36.3,136.31666666666666
加賀市山中温泉本町,石川県,3,36.25,136.36666666666667
川北町壱ツ屋,石川県,3,36.46666666666667,136.55
津幡町加賀爪,石川県,3,36.666666666666664,136.73333333333332
内灘町大学,石川県,3,36.65,136.65
かほく市宇野気,石川県,3,36.71666666666667,136.7
かほく市高松,石川県,3,36.766666666666666,136.73333333333332
白山市倉光,石川県,3,36.516666666666666,136.56666666666666
白山市美川浜町,石川県,3,36.483333333333334,136.5
白山市鶴来本町,石川県,3,36.45,136.63333333333333
白山市河内町口直海,石川県,3,36.4,136.63333333333333
能美市中町,石川県,3,36.45,136.46666666666667
野々市市三納,石川県,3,36.516666666666666,136.61666666666667
白山市別宮町,石川県,2,36.35,136.6
白山市白峰,石川県,2,36.18333333333333,136.61666666666667
白山市市原,石川県,2,36.31666666666667,136.65
白山市女原,石川県,2,36.28333333333333,136.65
上越市中ノ俣,新潟県,4,37.1,138.16666666666666
上越市大手町,新潟県,4,37.1,138.25
上越市木田,新潟県,4,37.15,138.23333333333332
上越市牧区柳島,新潟県,4,37.083333333333336,138.38333333333333
上越市柿崎区柿崎,新潟県,4,37.28333333333333,138.38333333333333
上越市大潟区土底浜,新潟県,4,37.233333333333334,138.33333333333334
上越市頸城区百間町,新潟県,4,37.18333333333333,138.33333333333334
上越市吉川区原之町,新潟県,4,37.21666666666667,138.4
上越市三和区井ノ口,新潟県,4,37.11666666666667,138.35
上越市板倉区針,新潟県,4,37.05,138.3
上越市名立区名立大町,新潟県,4,37.15,138.08333333333334
妙高市田町,新潟県,4,37.016666666666666,138.25
長岡市中之島,新潟県,4,37.55,138.88333333333333
三条市新堀,新潟県,4,37.583333333333336,138.91666666666666
十日町市千歳町,新潟県,4,37.13333333333333,138.75
十日町市松之山,新潟県,4,37.083333333333336,138.61666666666667
刈羽村割町新田,新潟県,4,37.416666666666664,138.61666666666667
佐渡市岩谷口,新潟県,4,38.25,138.43333333333334
佐渡市河原田本町,新潟県,4,38.0,138.31666666666666
佐渡市赤泊,新潟県,4,37.86666666666667,138.41666666666666
佐渡市小木町,新潟県,4,37.81666666666667,138.28333333333333
糸魚川市一の宮,新潟県,3,37.03333333333333,137.86666666666667
糸魚川市大野,新潟県,3,37.016666666666666,137.86666666666667
糸魚川市青海,新潟県,3,37.016666666666666,137.8
糸魚川市能生,新潟県,3,37.1,137.98333333333332
上越市安塚区安塚,新潟県,3,37.13333333333333,138.45
上越市浦川原区釜淵,新潟県,3,37.166666666666664,138.43333333333334
上越市中郷区藤沢,新潟県,3,36.983333333333334,138.23333333333332
上越市清里区荒牧,新潟県,3,37.083333333333336,138.33333333333334
上越市大島区岡,新潟県,3,37.15,138.51666666666668
妙高市栄町,新潟県,3,37.03333333333333,138.25
妙高市関山,新潟県,3,36.93333333333333,138.23333333333332
妙高市田口,新潟県,3,36.86666666666667,138.2
長岡市幸町,新潟県,3,37.43333333333333,138.83333333333334
長岡市寺泊一里塚,新潟県,3,37.65,138.76666666666668
長岡市千手,新潟県,3,37.43333333333333,138.85
長岡市浦,新潟県,3,37.4,138.78333333333333
長岡市上岩井,新潟県,3,37.5,138.78333333333333
長岡市小国町法坂,新潟県,3,37.3,138.71666666666667
長岡市小島谷,新潟県,3,37.56666666666667,138.76666666666668
長岡市山古志竹沢,新潟県,3,37.333333333333336,138.88333333333333
長岡市金町,新潟県,3,37.483333333333334,139.0
長岡市寺泊敦ケ曽根,新潟県,3,37.61666666666667,138.81666666666666
長岡市寺泊烏帽子平,新潟県,3,37.63333333333333,138.76666666666668
長岡市東川口,新潟県,3,37.266666666666666,138.86666666666667
長岡市与板町与板,新潟県,3,37.53333333333333,138.81666666666666
三条市西裏館,新潟県,3,37.63333333333333,138.95
柏崎市西山町池浦,新潟県,3,37.45,138.66666666666666
柏崎市高柳町岡野町,新潟県,3,37.21666666666667,138.63333333333333
柏崎市日石町,新潟県,3,37.36666666666667,138.55
小千谷市城内,新潟県,3,37.31666666666667,138.8
小千谷市旭町,新潟県,3,37.3,138.81666666666666
加茂市幸町,新潟県,3,37.666666666666664,139.03333333333333
十日町市下条,新潟県,3,37.2,138.78333333333333
十日町市松代,新潟県,3,37.13333333333333,138.6
十日町市水口沢,新潟県,3,37.166666666666664,138.73333333333332
見附市昭和町,新潟県,3,37.53333333333333,138.91666666666666
出雲崎町米田,新潟県,3,37.53333333333333,138.7
出雲崎町川西,新潟県,3,37.53333333333333,138.71666666666667
魚沼市下折立,新潟県,3,37.21666666666667,139.05
魚沼市堀之内,新潟県,3,37.25,138.91666666666666
魚沼市須原,新潟県,3,37.31666666666667,139.01666666666668
南魚沼市六日町,新潟県,3,37.06666666666667,138.88333333333333
南魚沼市浦佐,新潟県,3,37.166666666666664,138.93333333333334
南魚沼市塩沢庁舎,新潟県,3,37.03333333333333,138.85
燕市秋葉町,新潟県,3,37.666666666666664,138.91666666666666
燕市吉田西太田,新潟県,3,37.666666666666664,138.88333333333333
燕市分水桜町,新潟県,3,37.63333333333333,138.83333333333334
弥彦村矢作,新潟県,3,37.68333333333333,138.85
阿賀野市姥ヶ橋,新潟県,3,37.833333333333336,139.18333333333334
阿賀町鹿瀬中学校,新潟県,3,37.68333333333333,139.48333333333332
新潟北区東栄町,新潟県,3,37.916666666666664,139.21666666666667
新潟空港,新潟県,3,37.95,139.11666666666667
新潟中央区美咲町,新潟県,3,37.9,139.01666666666668
新潟中央区関屋,新潟県,3,37.916666666666664,139.01666666666668
新潟江南区泉町,新潟県,3,37.86666666666667,139.1
新潟秋葉区程島,新潟県,3,37.78333333333333,139.11666666666667
新潟秋葉区新津東町,新潟県,3,37.8,139.15
新潟南区白根,新潟県,3,37.766666666666666,139.01666666666668
新潟西区寺尾東,新潟県,3,37.86666666666667,138.96666666666667
新潟西蒲区役所,新潟県,3,37.766666666666666,138.88333333333333
新潟西蒲区巻甲,新潟県,3,37.766666666666666,138.88333333333333
佐渡市相川三町目,新潟県,3,38.03333333333333,138.23333333333332
佐渡市両津湊,新潟県,3,38.06666666666667,138.43333333333334
佐渡市松ヶ崎,新潟県,3,37.916666666666664,138.5
佐渡市千種,新潟県,3,38.016666666666666,138.36666666666667
佐渡市畑野,新潟県,3,37.983333333333334,138.4
佐渡市羽茂本郷,新潟県,3,37.85,138.31666666666666
佐渡市真野新町,新潟県,3,37.96666666666667,138.35
佐渡市相川栄町,新潟県,3,38.03333333333333,138.23333333333332
佐渡市両津支所,新潟県,3,38.083333333333336,138.43333333333334
佐渡市新穂瓜生屋,新潟県,3,38.016666666666666,138.43333333333334
三条市荻堀,新潟県,2,37.56666666666667,139.03333333333333
十日町市上山,新潟県,2,37.05,138.7
田上町原ケ崎新田,新潟県,2,37.7,139.05
湯沢町神立,新潟県,2,36.93333333333333,138.81666666666666
津南町下船渡,新潟県,2,37.016666666666666,138.65
魚沼市大沢,新潟県,2,37.233333333333334,139.0
魚沼市今泉,新潟県,2,37.25,138.98333333333332
