MaxIntensity,Distance,R,G,B
6.6,15.8,0,63.74594161658419,255
6.7,6.4,49.156337351708856,0,255
6.2,25.1,0,134.71888380044825,255
6.4,22.7,72.27369943270854,0,255
6.2,12.3,255,87.35785499825441,0
6.1,16.8,25.66143012645301,0,255
6.2,2.0,255,0,0.01623380416496012
6.0,19.1,255,225.80001287362788,0
6.1,13.2,240.40471435002252,255,0
6.2,14.5,154.44522101351023,0,255
6.0,6.3,255,0,164.31012416063137
5.8,35.5,0,72.14173435306512,255
5.7,26.3,0,171.46816260986978,255
5.5,24.1,255,204.0519252488149,0
5.6,23.3,255,0,131.5983525714138
5.7,19.7,255,0,143.18559666066994
5.7,25.1,111.29039744439616,0,255
5.6,18.3,149.575923673183,0,255
5.8,13.3,67.84739762210013,0,255
5.7,6.2,255,0.0,0
5.9,13.4,167.71618568122415,255,0
5.9,15.1,255,136.01850093009142,0
5.7,21.2,255,205.5547708117143,0
5.6,14.7,205.8469091494839,0,255
5.7,28.4,255,0,218.19739869300525
5.9,6.2,255,112.89172702522224,0
5.9,9.0,255,34.54611678012834,0
5.8,17.4,255,0,250.90618329879595
5.5,60.2,255,82.2745536242633,0
5.9,79.2,0,67.49520638833545,255
5.1,54.6,255,0,211.4964008289221
5.1,61.0,255,0,205.01959036806358
5.0,47.7,255,0,196.91304002736965
5.1,63.4,255,0,186.9792536075724
5.0,71.8,255,0,176.05138427745987
5.3,69.8,255,0,245.8533725814897
5.4,67.8,255,0,216.35184457585248
5.4,47.7,0,25.61528388942968,255
5.4,50.1,0,116.36683496003698,255
5.3,30.9,0,172.37730453115213,255
5.3,27.6,255,213.324326878697,0
5.1,30.0,154.4455179635424,0,255
5.0,27.1,187.15331854989105,0,255
5.1,25.2,240.40007604955926,0,255
5.1,23.6,162.05244799785328,0,255
5.4,21.8,255,0,202.83902538597528
5.1,34.6,255,0,126.41749376065879
5.2,12.8,79.43091378215924,255,0
5.2,23.6,255,244.49542738565486,0
5.1,40.7,255,129.9600734188848,0
5.0,74.0,0,178.35326230161826,255
5.0,52.3,69.82603690539541,0,255
5.2,68.3,0,123.40301160234347,255
5.0,53.8,0,169.41927944147594,255
5.4,65.8,0,31.772979281489675,255
5.0,49.3,0,255,96.45968715624377
5.0,71.5,0,255,144.74630852486104
4.5,172.8,0,148.26153581609654,255
4.5,95.0,228.4349925372169,0,255
4.6,121.5,156.43837769117746,0,255
4.9,63.2,255,0,232.21027845156593
4.6,61.8,255,0,242.97941305424808
4.7,67.4,209.77531359825247,0,255
4.9,51.9,255,0,201.83161069795077
4.9,55.9,255,0,200.98602625073752
4.5,51.9,193.04375509768366,0,255
4.6,44.0,117.7649851159573,0,255
4.5,53.9,243.7362867771037,0,255
4.7,56.1,255,0,247.2341045135662
4.5,73.5,214.86279189940194,0,255
4.9,58.6,255,0,224.46580619744483
4.6,57.2,240.40081815387714,0,255
4.9,79.3,193.76915325835535,0,255
4.8,51.3,255,0,224.2528940388926
4.9,64.3,255,0,199.94382361488846
4.6,66.7,255,0,178.87980441869524
4.6,74.3,255,0,147.45524666353404
4.6,71.0,255,0,153.50805749857375
4.9,73.6,255,0,133.33613774033645
4.9,69.2,255,0,250.90464861945327
4.7,67.3,255,0,242.6533708862215
4.7,73.0,255,0,168.4885686136791
4.7,71.3,255,0,226.92059813377375
4.9,47.9,0,149.70410839585045,255
4.5,24.0,231.38847569850603,255,0
4.6,23.8,105.42327794304255,255,0
4.9,37.1,229.3415823041235,255,0
4.7,39.8,255,0,145.72073833302704
4.9,28.6,255,0,139.84930173872442
4.7,29.6,222.61456537184407,0,255
4.6,39.5,255,0,225.80410383158488
4.9,31.4,0,255,212.46886411796635
4.9,38.0,0,255,243.9413197765269
4.8,36.6,249.94484517073627,0,255
4.5,56.2,76.09692606846873,255,0
4.8,56.8,144.26715674381543,255,0
4.7,65.6,255,228.42041545709895,0
4.5,48.4,255,154.99287679690056,0
4.8,89.8,0,89.97252330435677,255
4.5,105.7,0,162.34330995087024,255
4.9,108.5,0,181.24470203796355,255
4.7,114.0,0,210.28599412763688,255
4.7,114.1,0,188.65263440016068,255
4.9,42.6,14.599417971220426,0,255
4.7,64.8,72.78154562858174,0,255
4.6,45.2,40.13747495454597,0,255
4.8,57.8,0,129.45894660108476,255
4.6,64.2,0,164.68417649578038,255
4.5,74.8,0,255,200.58292170988761
4.5,73.8,255,160.00151537954002,0
4.6,79.5,255,173.1106766657537,0
6.0,14.2,255,151.03052366325338,0
6.0,7.5,255,0,98.59988737887821
5.9,32.3,0,130.2272352222448,255
5.5,36.3,255,94.55645419892014,0
5.5,90.1,0,79.9591284699174,255
5.0,65.6,246.06280956977622,0,255
5.1,34.6,255,218.194231121456,0
5.0,56.9,255,235.04472086226752,0
5.0,88.2,0,63.74932359336957,255
5.0,51.4,0,255,246.8877237387906
4.7,70.7,255,0,199.10310300548537
4.7,44.5,255,0,63.460038608694354
4.9,46.6,255,0,0.0015219191427440215
4.5,61.2,142.69951584415773,255,0
4.5,96.1,0,121.22270984246258,255
4.5,108.6,0,240.478775879964,255
4.6,68.8,0,10.501898788227635,255
